bias,time,
0.200000002980232,1615879278.99616,
0.200000002980232,1615879279.19642,
0.200000002980232,1615879279.39868,
0.200000002980232,1615879279.60166,
0.200000002980232,1615879279.80335,
0.200000002980232,1615879280.00507,
0.200000002980232,1615879280.20563,
0.200000002980232,1615879280.40821,
0.200000002980232,1615879280.60908,
0.200000002980232,1615879280.81289,
0.200000002980232,1615879281.01456,
0.200000002980232,1615879281.21482,
0.200000002980232,1615879281.41788,
0.200000002980232,1615879281.61885,
0.200000002980232,1615879281.82682,
0.200000002980232,1615879282.02684,
0.200000002980232,1615879282.23049,
0.200000002980232,1615879282.43459,
0.200000002980232,1615879282.63284,
0.200000002980232,1615879282.83619,
0.200000002980232,1615879283.03553,
0.200000002980232,1615879283.23841,
0.200000002980232,1615879283.4391,
0.200000002980232,1615879283.64005,
0.200000002980232,1615879283.84271,
0.200000002980232,1615879284.04547,
0.200000002980232,1615879284.24551,
0.200000002980232,1615879284.44929,
0.200000002980232,1615879284.65073,
0.200000002980232,1615879284.85245,
0.200000002980232,1615879285.05328,
0.200000002980232,1615879285.25608,
0.200000002980232,1615879285.45629,
0.200000002980232,1615879285.65817,
0.200000002980232,1615879285.86162,
0.200000002980232,1615879286.06604,
0.200000002980232,1615879286.26765,
0.200000002980232,1615879286.47056,
0.200000002980232,1615879286.67069,
0.200000002980232,1615879286.87391,
0.200000002980232,1615879287.07657,
0.200000002980232,1615879287.27953,
0.200000002980232,1615879287.48059,
0.200000002980232,1615879287.68085,
0.200000002980232,1615879287.88389,
0.200000002980232,1615879288.08474,
0.200000002980232,1615879288.28819,
0.200000002980232,1615879288.48962,
0.200000002980232,1615879288.69093,
0.200000002980232,1615879288.8931,
0.200000002980232,1615879289.09563,
0.200000002980232,1615879289.29635,
0.200000002980232,1615879289.49906,
0.200000002980232,1615879289.70072,
0.200000002980232,1615879289.90163,
0.200000002980232,1615879290.10606,
0.200000002980232,1615879290.30781,
0.200000002980232,1615879290.50962,
0.200000002980232,1615879290.71256,
0.200000002980232,1615879290.91332,
0.200000002980232,1615879291.1156,
0.200000002980232,1615879291.31619,
0.200000002980232,1615879291.51714,
0.200000002980232,1615879291.71887,
0.200000002980232,1615879291.92224,
0.200000002980232,1615879292.12219,
0.200000002980232,1615879292.32542,
0.200000002980232,1615879292.5284,
0.200000002980232,1615879292.72791,
0.200000002980232,1615879292.9303,
0.200000002980232,1615879293.13411,
0.200000002980232,1615879293.33439,
0.200000002980232,1615879293.53658,
0.200000002980232,1615879293.73792,
0.200000002980232,1615879293.93982,
0.200000002980232,1615879294.14259,
0.200000002980232,1615879294.34307,
0.200000002980232,1615879294.54469,
0.200000002980232,1615879294.7473,
0.200000002980232,1615879294.94841,
0.200000002980232,1615879295.15121,
0.200000002980232,1615879295.35255,
0.200000002980232,1615879295.55482,
0.200000002980232,1615879295.75459,
0.200000002980232,1615879295.95739,
0.200000002980232,1615879296.1602,
0.200000002980232,1615879296.36206,
0.200000002980232,1615879296.56332,
0.200000002980232,1615879296.76545,
0.200000002980232,1615879296.96783,
0.200000002980232,1615879297.16789,
0.200000002980232,1615879297.37078,
0.200000002980232,1615879297.57247,
0.200000002980232,1615879297.77394,
0.200000002980232,1615879297.97466,
0.200000002980232,1615879298.17808,
0.200000002980232,1615879298.37888,
0.200000002980232,1615879298.57942,
0.200000002980232,1615879298.78089,
0.200000002980232,1615879298.98414,
0.200000002980232,1615879299.18731,
0.200000002980232,1615879299.38929,
0.200000002980232,1615879299.58993,
0.200000002980232,1615879299.79119,
0.200000002980232,1615879299.99522,
0.200000002980232,1615879300.19582,
0.200000002980232,1615879300.39834,
0.200000002980232,1615879300.59916,
